
Cluster method: average
Distance      : correlation

Estimates on edges:

       au    bp se.au se.bp      v      c  pchi
296 0.839 0.761 0.020 0.005 -0.850  0.140 0.273
297 0.822 0.147 0.026 0.004  0.063  0.986 0.588
298 0.685 0.231 0.031 0.004  0.127  0.609 0.440
299 0.813 0.469 0.021 0.005 -0.406  0.485 0.850
300 0.855 0.771 0.019 0.004 -0.901  0.158 0.507
301 0.991 0.984 0.004 0.002 -2.259  0.126 0.269
302 0.999 0.998 0.001 0.001 -3.056  0.146 0.698
303 0.898 0.760 0.015 0.005 -0.988  0.280 0.266
304 0.917 0.332 0.013 0.005 -0.476  0.912 0.787
305 0.996 0.933 0.001 0.003 -2.086  0.587 0.665
306 1.000 1.000 0.000 0.000  0.000  0.000 0.000
307 0.999 0.996 0.001 0.001 -2.901  0.225 0.294
308 0.874 0.150 0.021 0.004 -0.055  1.092 0.746
309 0.494 0.505 0.031 0.005  0.001 -0.013 0.702
310 0.998 0.994 0.002 0.001 -2.665  0.177 0.763
311 0.998 0.997 0.003 0.001 -2.840  0.051 0.700
312 0.800 0.041 0.043 0.002  0.448  1.288 0.763
313 1.000 1.000 0.000 0.000  0.000  0.000 0.000
314 0.994 0.982 0.003 0.002 -2.308  0.200 0.289
315 0.881 0.130 0.021 0.003 -0.027  1.155 0.011
316 0.876 0.733 0.017 0.005 -0.889  0.267 0.232
317 1.000 1.000 0.000 0.000  0.000  0.000 0.000
318 1.000 1.000 0.000 0.000  0.000  0.000 0.000
319 0.605 0.500 0.030 0.005 -0.132  0.133 0.169
320 1.000 1.000 0.000 0.000  0.000  0.000 0.000
321 1.000 1.000 0.000 0.000  0.000  0.000 0.000
322 0.822 0.432 0.020 0.005 -0.376  0.546 0.806
323 0.996 0.999 0.008 0.001 -2.912 -0.236 0.969
324 0.970 0.935 0.008 0.003 -1.700  0.184 0.651
325 0.998 0.987 0.001 0.001 -2.579  0.349 0.344
326 0.983 0.984 0.007 0.001 -2.131 -0.020 0.938
327 0.751 0.112 0.034 0.003  0.269  0.947 0.949
328 0.795 0.274 0.024 0.005 -0.112  0.712 0.354
329 0.714 0.407 0.027 0.005 -0.165  0.400 0.778
330 0.968 0.478 0.006 0.005 -0.901  0.957 0.115
331 1.000 1.000 0.000 0.000  0.000  0.000 0.000
332 0.999 0.999 0.002 0.000 -3.064 -0.046 0.593
333 0.828 0.407 0.020 0.005 -0.355  0.591 0.606
334 0.752 0.816 0.028 0.004 -0.789 -0.109 0.001
335 0.974 0.980 0.010 0.002 -2.005 -0.056 0.136
336 0.843 0.824 0.021 0.004 -0.968  0.037 0.351
337 1.000 1.000 0.000 0.000  0.000  0.000 0.000
338 0.968 0.936 0.008 0.003 -1.686  0.163 0.487
339 1.000 1.000 0.000 0.000  0.000  0.000 0.000
340 1.000 1.000 0.000 0.000  0.000  0.000 0.000
341 0.861 0.399 0.018 0.005 -0.416  0.670 0.448
342 0.997 0.999 0.006 0.001 -2.958 -0.156 0.984
343 0.985 0.929 0.004 0.003 -1.823  0.358 0.348
344 0.728 0.726 0.027 0.005 -0.604  0.004 0.857
345 0.926 0.907 0.014 0.003 -1.384  0.063 0.493
346 0.561 0.420 0.031 0.005  0.025  0.178 0.348
347 0.826 0.758 0.021 0.005 -0.818  0.119 0.419
348 0.745 0.214 0.029 0.004  0.068  0.726 0.125
349 1.000 1.000 0.000 0.000  0.000  0.000 0.000
350 0.971 0.999 0.044 0.001 -2.484 -0.595 0.985
351 0.832 0.774 0.021 0.004 -0.857  0.106 0.157
352 1.000 1.000 0.000 0.000  0.000  0.000 0.000
353 0.998 0.996 0.002 0.001 -2.771  0.074 0.129
354 0.736 0.433 0.025 0.005 -0.232  0.400 0.035
355 1.000 1.000 0.000 0.000  0.000  0.000 0.000
356 0.724 0.999 0.477 0.001 -1.858 -1.265 0.940
357 1.000 0.999 0.001 0.000 -3.218  0.091 0.346
358 1.000 1.000 0.000 0.000  0.000  0.000 0.000
359 0.995 0.987 0.003 0.001 -2.404  0.185 0.673
360 1.000 1.000 0.000 0.000  0.000  0.000 0.000
361 1.000 1.000 0.000 0.000  0.000  0.000 0.000
362 0.936 0.915 0.013 0.003 -1.447  0.077 0.733
363 1.000 1.000 0.000 0.000 -4.161  0.242 0.466
364 0.977 0.889 0.005 0.003 -1.608  0.388 0.278
365 0.997 0.994 0.002 0.001 -2.604  0.099 0.737
366 1.000 1.000 0.000 0.000  0.000  0.000 0.000
367 0.999 0.993 0.001 0.001 -2.757  0.278 0.369
368 0.720 0.391 0.027 0.005 -0.154  0.430 0.555
369 1.000 1.000 0.000 0.000  0.000  0.000 0.000
370 1.000 1.000 0.000 0.000  0.000  0.000 0.000
371 1.000 1.000 0.000 0.000  0.000  0.000 0.000
372 0.990 0.981 0.005 0.002 -2.197  0.120 0.681
373 0.608 0.255 0.032 0.005  0.191  0.466 0.007
374 1.000 1.000 0.000 0.000  0.000  0.000 0.000
375 1.000 1.000 0.000 0.000  0.000  0.000 0.000
376 0.647 0.319 0.030 0.005  0.048  0.424 0.109
377 1.000 1.000 0.000 0.000  0.000  0.000 0.000
378 1.000 1.000 0.000 0.000  0.000  0.000 0.000
379 0.880 0.784 0.017 0.004 -0.980  0.195 0.998
380 1.000 1.000 0.000 0.000  0.000  0.000 0.000
381 0.954 0.925 0.010 0.003 -1.565  0.122 0.193
382 0.742 0.462 0.025 0.005 -0.277  0.371 0.621
383 0.738 0.583 0.025 0.005 -0.423  0.213 0.362
384 0.926 0.885 0.013 0.003 -1.325  0.125 0.222
385 0.562 0.484 0.030 0.005 -0.059  0.098 0.197
386 0.653 0.452 0.029 0.005 -0.137  0.256 0.698
387 0.747 0.368 0.025 0.005 -0.164  0.501 0.226
388 1.000 1.000 0.000 0.000  0.000  0.000 0.000
389 0.996 0.982 0.002 0.002 -2.391  0.296 0.721
390 0.985 0.998 0.017 0.001 -2.524 -0.364 0.958
391 0.828 0.999 1.254 0.003 -2.088 -1.141 1.000
392 0.729 0.568 0.026 0.005 -0.390  0.219 0.082
393 0.948 0.957 0.014 0.002 -1.672 -0.049 0.459
394 0.841 0.630 0.019 0.005 -0.665  0.334 0.492
395 0.852 0.836 0.021 0.004 -1.011  0.032 0.179
396 1.000 1.000 0.000 0.000  0.000  0.000 0.000
397 1.000 1.000 0.000 0.000  0.000  0.000 0.000
398 0.649 0.680 0.029 0.005 -0.425 -0.042 0.035
399 1.000 0.993 0.000 0.001 -3.053  0.612 0.076
400 0.911 0.757 0.013 0.005 -1.023  0.327 0.015
401 1.000 1.000 0.000 0.000  0.000  0.000 0.000
402 1.000 1.000 0.000 0.000  0.000  0.000 0.000
403 1.000 1.000 0.000 0.000  0.000  0.000 0.000
404 1.000 1.000 0.000 0.000  0.000  0.000 0.000
405 0.691 0.617 0.027 0.005 -0.399  0.100 0.671
406 1.000 1.000 0.000 0.000  0.000  0.000 0.000
407 0.998 0.998 0.003 0.001 -2.901 -0.032 0.556
408 0.799 0.489 0.022 0.005 -0.405  0.432 0.608
409 0.784 0.553 0.023 0.005 -0.460  0.327 0.367
410 1.000 1.000 0.000 0.000  0.000  0.000 0.000
411 0.967 0.877 0.007 0.004 -1.501  0.340 0.340
412 0.996 0.994 0.003 0.001 -2.589  0.047 0.129
413 0.723 0.433 0.026 0.005 -0.212  0.381 0.920
414 0.997 0.993 0.002 0.001 -2.633  0.163 0.269
415 0.996 0.990 0.002 0.001 -2.499  0.159 0.997
416 0.599 0.293 0.032 0.005  0.147  0.398 0.260
417 0.734 0.713 0.026 0.005 -0.594  0.031 0.518
418 0.952 0.896 0.010 0.003 -1.463  0.205 0.220
419 1.000 1.000 0.000 0.000  0.000  0.000 0.000
420 0.890 0.576 0.015 0.005 -0.710  0.517 0.228
421 0.952 0.511 0.008 0.005 -0.844  0.816 0.150
422 0.869 0.512 0.017 0.005 -0.577  0.547 0.121
423 0.677 0.626 0.028 0.005 -0.389  0.069 0.703
424 0.663 0.232 0.032 0.004  0.156  0.577 0.364
425 0.975 0.999 0.063 0.001 -2.492 -0.530 0.686
426 0.999 0.995 0.001 0.001 -2.841  0.246 0.837
427 0.832 0.372 0.020 0.005 -0.318  0.646 0.169
428 0.991 0.979 0.004 0.002 -2.205  0.166 0.137
429 0.920 0.451 0.012 0.005 -0.642  0.765 0.573
430 0.592 0.499 0.030 0.005 -0.115  0.118 0.397
431 0.947 0.831 0.009 0.004 -1.289  0.332 0.315
432 0.998 0.993 0.002 0.001 -2.645  0.181 0.994
433 0.730 0.093 0.037 0.003  0.355  0.967 0.184
434 0.854 0.545 0.018 0.005 -0.583  0.470 0.308
435 1.000 1.000 0.000 0.000  0.000  0.000 0.000
436 1.000 1.000 0.001 0.000 -3.609 -0.006 0.720
437 0.542 0.160 0.038 0.004  0.445  0.551 0.811
438 0.862 0.193 0.021 0.004 -0.111  0.978 0.098
439 0.822 0.211 0.024 0.004 -0.060  0.862 0.063
440 0.937 0.245 0.011 0.004 -0.422  1.111 0.146
441 0.769 0.248 0.026 0.004 -0.027  0.708 0.733
442 0.999 0.997 0.001 0.001 -2.983  0.282 0.746
443 0.814 0.193 0.025 0.004 -0.013  0.879 0.978
444 0.548 0.578 0.031 0.005 -0.158 -0.038 0.808
445 1.000 1.000 0.000 0.000  0.000  0.000 0.000
446 0.834 0.260 0.022 0.005 -0.164  0.808 0.569
447 0.686 0.507 0.027 0.005 -0.252  0.233 0.057
448 0.646 0.056 0.049 0.002  0.606  0.981 0.985
449 0.811 0.777 0.023 0.004 -0.822  0.061 0.717
450 1.000 1.000 0.000 0.000  0.000  0.000 0.000
